amount_full_withdrawn,amount_partial_withdrawn,amount_staked,cumulative_amount_full_withdrawn,cumulative_amount_partial_withdrawn,cumulative_amount_staked,cumulative_total_entries,curr_stake,day,entity_category,total_entries
960.0,171.57276032599998,0,1075038.834055123,39889.195287577015,3753443,2077937,2638514.9706573,2024-09-24,Liquid Restaking,7487
3680.0,123.90666925699993,1504,1776656.5810901772,368449.5557725396,6096346,8953090,3951239.863137283,2024-09-24,undefined,5607
2272.0,175.88994170700013,1216,6394754.476754127,803357.3355416966,9701248,17951774,2503136.187704176,2024-09-24,CEXs,7827
736.0,270.9890085289999,1696,3853881.278000542,329806.532933279,8021376,9539748,3837688.189066179,2024-09-24,Staking Pools,11989
32.0,0.3835406709999986,0,120249.13433827901,44379.896161347,109794,767849,-54835.03049962601,2024-09-24,Solo Stakers,21
672.0,247.52982859599996,15185,3104267.9050476383,723657.3305013012,9457080,22516484,5629154.76445106,2024-09-24,Liquid Staking,11346
3295.9780724,251.91617162000003,2816,1074078.834055123,39717.62252725101,3753443,2070450,2639646.543417626,2024-09-23,Liquid Restaking,11276
0.0,3.0256798120000004,0,120217.13433827901,44379.512620676,109794,767828,-54802.64695895501,2024-09-23,Solo Stakers,136
1376.0,554.19112183,32,3103595.9050476383,723409.8006727052,9441895,22505138,5614889.294279656,2024-09-23,Liquid Staking,24512
11455.978079299999,693.5426366579995,12128,6392482.476754127,803181.4455999896,9700032,17943947,2504368.0776458834,2024-09-23,CEXs,31211
1760.0,313.01195256000005,3520,1772976.5810901772,368325.6491032826,6094842,8947483,3953539.76980654,2024-09-23,undefined,13884
9343.9956599,771.153030204,8192,3853145.278000542,329535.54392475,8019680,9527759,3836999.178074708,2024-09-23,Staking Pools,34484
0.0,3.8601991129999997,256,1070782.855982723,39465.70635563101,3750627,2059174,2640378.4376616464,2024-09-22,Liquid Restaking,188
0.0,2.233832617,0,120217.13433827901,44376.486940864,109794,767692,-54799.62127914301,2024-09-22,Solo Stakers,103
3935.96598018,367.54479201699996,4416,3843801.282340642,328764.390894546,8011488,9493275,3838922.3267648118,2024-09-22,Staking Pools,16414
928.0,1025.553639394,2944,6381026.498674827,802487.9029633317,9687904,17912736,2504389.5983618414,2024-09-22,CEXs,45375
703.856329495,324.34509419899996,3705,1771216.5810901772,368012.6371507226,6091322,8933599,3952092.7817591,2024-09-22,undefined,14521
7232.0,872.9545003950003,808,3102219.9050476383,722855.6095508751,9441863,22480626,5616787.485401487,2024-09-22,Liquid Staking,38573
0.0,1.7380838140000001,2112,1070782.855982723,39461.84615651801,3750371,2058986,2640126.2978607593,2024-09-21,Liquid Restaking,145
1888.0,415.75554138499996,3264,3839865.316360462,328396.846102529,8007072,9476861,3838809.8375370093,2024-09-21,Staking Pools,18408
1120.0,1166.8843988699994,64,3094987.9050476383,721982.6550504802,9441055,22442053,5624084.439901882,2024-09-21,Liquid Staking,50990
5087.991434313,336.28984395900005,7264,1770512.724760682,367688.2920565236,6087617,8919078,3949415.983182794,2024-09-21,undefined,14898
0.0,4.087792421,0,120217.13433827901,44374.253108247,109794,767589,-54797.38744652601,2024-09-21,Solo Stakers,186
1056.0,687.8995871109998,3200,6380098.498674827,801462.3493239377,9684960,17867361,2503399.1520012356,2024-09-21,CEXs,30288
0.0,0.0,2112,1070782.855982723,39460.10807270401,3748259,2058841,2638016.035944573,2024-09-20,Liquid Restaking,66
0.0,10.225655267,0,120217.13433827901,44370.165315826,109794,767403,-54793.29965410501,2024-09-20,Solo Stakers,474
19232.0,766.12719176,6432,6379042.498674827,800774.4497368267,9681760,17837073,2501943.0515883467,2024-09-20,CEXs,34306
8000.0,1034.7920712859996,63,3093867.9050476383,720815.7706516101,9440991,22391063,5626307.324300751,2024-09-20,Liquid Staking,45369
3936.0,340.0126972100001,7392,3837977.316360462,327981.090561144,8003808,9458453,3837849.593078394,2024-09-20,Staking Pools,15263
7584.0,435.5366415139998,16160,1765424.7333263692,367352.00221256464,6080353,8904180,3947576.2644610666,2024-09-20,undefined,19992
0.0,0.057744987,0,1070782.855982723,39460.10807270401,3746147,2058775,2635904.035944573,2024-09-19,Liquid Restaking,3
192.0,49.87627254300002,0,120217.13433827901,44359.939660559,109794,766929,-54783.07399883801,2024-09-19,Solo Stakers,2207
1504.0,111.15479558099997,3392,3834041.316360462,327641.077863934,7996416,9443190,3834733.605775604,2024-09-19,Staking Pools,4773
9056.0,1419.2468617820014,1,3085867.9050476383,719780.9785803241,9440928,22345694,5635279.116372038,2024-09-19,Liquid Staking,62597
256.0,410.41882815,6329,1757840.7333263692,366916.46557105065,6064193,8884188,3939435.8011025805,2024-09-19,undefined,18116
12576.0,615.1394424840003,2336,6359810.498674827,800008.3225450667,9675328,17802767,2515509.178780107,2024-09-19,CEXs,27394
0.0,0.0,4512,1070782.855982723,39460.05032771701,3746147,2058772,2635904.0936895604,2024-09-18,Liquid Restaking,141
128.0,300.88928016199986,4704,3832537.316360462,327529.923068353,7993024,9438417,3832956.760571185,2024-09-18,Staking Pools,13137
8672.0,536.126286884,4768,6347234.498674827,799393.1831025827,9672992,17775373,2526364.3182225907,2024-09-18,CEXs,23734
415.75144431900003,315.6310607669999,7168,1757584.7333263692,366506.0467429006,6057864,8866072,3933773.2199307303,2024-09-18,undefined,12206
32.0,93.57885083400002,0,120025.13433827901,44310.063388016,109794,764722,-54541.19772629501,2024-09-18,Solo Stakers,3524
13248.0,1424.1894672380001,870,3076811.9050476383,718361.731718542,9440927,22283097,5645753.36323382,2024-09-18,Liquid Staking,62428
0.0,129.519440281,32,1070782.855982723,39460.05032771701,3741635,2058631,2631392.0936895604,2024-09-17,Liquid Restaking,6027
160.0,68.10636296199999,0,119993.13433827901,44216.484537182005,109794,761198,-54415.61887546101,2024-09-17,Solo Stakers,2856
704.0,220.64549185899995,393,3063563.9050476383,716937.542251304,9440057,22220669,5659555.552701058,2024-09-17,Liquid Staking,9723
3232.0,689.2904412679998,4704,6338562.498674827,798857.0568156987,9668224,17751639,2530804.4445094746,2024-09-17,CEXs,34842
1919.5687254129998,997.168457875,6112,1757168.9818820502,366190.41568213364,6050696,8853866,3927336.6024358156,2024-09-17,undefined,42456
7648.0,498.8983041469998,2816,3832409.316360462,327229.033788191,7988320,9425280,3828681.649851347,2024-09-17,Staking Pools,18848
5792.0,566.6532503010002,0,1070782.855982723,39330.530887436005,3741603,2052604,2631489.613129841,2024-09-16,Liquid Restaking,25125
0.0,1.1781952430000002,0,119833.13433827901,44148.37817422001,109794,758342,-54187.512512499015,2024-09-16,Solo Stakers,52
2336.0,595.7104847759997,9472,1755249.4131566372,365193.2472242586,6044584,8811410,3924141.3396191043,2024-09-16,undefined,26578
5568.0,304.52626589900007,4032,6335330.498674827,798167.7663744307,9663520,17716797,2530021.7349507427,2024-09-16,CEXs,13825
9120.0,424.673898005,12416,3824761.316360462,326730.135484044,7985504,9406432,3834012.548155494,2024-09-16,Staking Pools,19323
672.0,686.9712065969998,31,3062859.9050476383,716716.8967594451,9439664,22210946,5660087.198192917,2024-09-16,Liquid Staking,30356
15232.0,808.2410577970002,0,1064990.855982723,38763.877637135,3741603,2027479,2637848.2663801424,2024-09-15,Liquid Restaking,36084
9280.0,693.730746965,1728,3815641.316360462,326305.461586039,7973088,9387109,3831141.222053499,2024-09-15,Staking Pools,31037
256.0,139.63183245300002,64,3062187.9050476383,716029.925552848,9439633,22180590,5661415.169399514,2024-09-15,Liquid Staking,6135
1792.0,460.847737306,17568,1752913.4131566372,364597.5367394826,6035112,8784832,3917601.0501038805,2024-09-15,undefined,20764
32.0,1.1585111749999977,0,119833.13433827901,44147.199978977005,109794,758290,-54186.33431725601,2024-09-15,Solo Stakers,52
2048.0,476.6400762139999,2784,6329762.498674827,797863.2401085318,9659488,17702972,2531862.2612166414,2024-09-15,CEXs,21453
12223.822811799,364.49512780999976,0,1049758.855982723,37955.636579338,3741603,1991395,2653888.5074379393,2024-09-14,Liquid Restaking,16191
32.0,2.7221501999999966,0,119801.13433827901,44146.041467802,109794,758238,-54153.17580608101,2024-09-14,Solo Stakers,122
8768.0,581.767201883,1216,6327714.498674827,797386.6000323178,9656704,17681519,2531602.9012928554,2024-09-14,CEXs,26144
2208.0,548.5011284070001,0,3061931.9050476383,715890.2937203951,9439569,22174455,5661746.801231966,2024-09-14,Liquid Staking,24191
9056.0,746.812343297,3840,3806361.316360462,325611.730839074,7971360,9356072,3839386.952800464,2024-09-14,Staking Pools,33083
2304.0,339.46255016399994,2208,1751121.4131566372,364136.68900217663,6017544,8764068,3902285.8978411863,2024-09-14,undefined,14960
3680.0,22.07237042100002,2848,1037535.0331709239,37591.141451528005,3741603,1975204,2666476.825377548,2024-09-13,Liquid Restaking,1156
