base_fee_burned,date
28.27248555016916,2024-08-21 00:00:00.000 UTC
173.23890200842197,2024-08-20 00:00:00.000 UTC
170.65417071532198,2024-08-19 00:00:00.000 UTC
131.4504668485132,2024-08-18 00:00:00.000 UTC
115.07809400412978,2024-08-17 00:00:00.000 UTC
176.3906520895065,2024-08-16 00:00:00.000 UTC
437.8712853655796,2024-08-15 00:00:00.000 UTC
323.41594611259285,2024-08-14 00:00:00.000 UTC
238.19962455806592,2024-08-13 00:00:00.000 UTC
448.6897386308963,2024-08-12 00:00:00.000 UTC
148.6904841635334,2024-08-11 00:00:00.000 UTC
121.22576129975842,2024-08-10 00:00:00.000 UTC
370.0223335144095,2024-08-09 00:00:00.000 UTC
617.5811813085255,2024-08-08 00:00:00.000 UTC
481.5981593397124,2024-08-07 00:00:00.000 UTC
420.8119634672366,2024-08-06 00:00:00.000 UTC
5222.449401352447,2024-08-05 00:00:00.000 UTC
504.87665816655345,2024-08-04 00:00:00.000 UTC
208.32156074271,2024-08-03 00:00:00.000 UTC
484.35875729126167,2024-08-02 00:00:00.000 UTC
842.541389215771,2024-08-01 00:00:00.000 UTC
766.7468388069344,2024-07-31 00:00:00.000 UTC
726.0688001494655,2024-07-30 00:00:00.000 UTC
254.5047406120094,2024-07-29 00:00:00.000 UTC
158.84767560456964,2024-07-28 00:00:00.000 UTC
405.49980304230974,2024-07-27 00:00:00.000 UTC
255.2290092744891,2024-07-26 00:00:00.000 UTC
448.1200170840686,2024-07-25 00:00:00.000 UTC
437.56925445053736,2024-07-24 00:00:00.000 UTC
487.47344508957974,2024-07-23 00:00:00.000 UTC
587.1652612541367,2024-07-22 00:00:00.000 UTC
582.8727088443461,2024-07-21 00:00:00.000 UTC
351.5463282137602,2024-07-20 00:00:00.000 UTC
700.9246087183099,2024-07-19 00:00:00.000 UTC
1086.0214374597945,2024-07-18 00:00:00.000 UTC
1022.7072416594219,2024-07-17 00:00:00.000 UTC
892.8172670761631,2024-07-16 00:00:00.000 UTC
900.0161363492358,2024-07-15 00:00:00.000 UTC
302.01355850715134,2024-07-14 00:00:00.000 UTC
276.2584894621816,2024-07-13 00:00:00.000 UTC
319.370909610771,2024-07-12 00:00:00.000 UTC
571.5334091516445,2024-07-11 00:00:00.000 UTC
664.4192356090606,2024-07-10 00:00:00.000 UTC
410.00434232439005,2024-07-09 00:00:00.000 UTC
383.0830966692699,2024-07-08 00:00:00.000 UTC
183.38089130411856,2024-07-07 00:00:00.000 UTC
226.30339251433807,2024-07-06 00:00:00.000 UTC
1018.3674769420154,2024-07-05 00:00:00.000 UTC
812.6528962524064,2024-07-04 00:00:00.000 UTC
876.3877137595462,2024-07-03 00:00:00.000 UTC
452.98600956841625,2024-07-02 00:00:00.000 UTC
553.0229840883312,2024-07-01 00:00:00.000 UTC
284.17952356150414,2024-06-30 00:00:00.000 UTC
209.85749375100616,2024-06-29 00:00:00.000 UTC
442.81741315817465,2024-06-28 00:00:00.000 UTC
762.8129507571655,2024-06-27 00:00:00.000 UTC
571.0942392824132,2024-06-26 00:00:00.000 UTC
554.8753151791874,2024-06-25 00:00:00.000 UTC
587.9734523217484,2024-06-24 00:00:00.000 UTC
265.7366968948384,2024-06-23 00:00:00.000 UTC
258.792909025598,2024-06-22 00:00:00.000 UTC
511.2536566192389,2024-06-21 00:00:00.000 UTC
1033.1944977278467,2024-06-20 00:00:00.000 UTC
795.5077411232933,2024-06-19 00:00:00.000 UTC
976.8008933459632,2024-06-18 00:00:00.000 UTC
735.511326739799,2024-06-17 00:00:00.000 UTC
386.6331787157034,2024-06-16 00:00:00.000 UTC
481.4178497147167,2024-06-15 00:00:00.000 UTC
1024.0761192763237,2024-06-14 00:00:00.000 UTC
1476.164779523047,2024-06-13 00:00:00.000 UTC
1711.4997803608646,2024-06-12 00:00:00.000 UTC
1403.2044723918546,2024-06-11 00:00:00.000 UTC
1041.533493809003,2024-06-10 00:00:00.000 UTC
687.2054615270891,2024-06-09 00:00:00.000 UTC
762.201016113746,2024-06-08 00:00:00.000 UTC
1610.3079790961037,2024-06-07 00:00:00.000 UTC
1992.9464554637464,2024-06-06 00:00:00.000 UTC
1847.1233920684672,2024-06-05 00:00:00.000 UTC
1019.1056835721173,2024-06-04 00:00:00.000 UTC
1272.1886553332054,2024-06-03 00:00:00.000 UTC
888.4533137948753,2024-06-02 00:00:00.000 UTC
743.2304114154605,2024-06-01 00:00:00.000 UTC
1232.9284648014313,2024-05-31 00:00:00.000 UTC
1380.0443262302283,2024-05-30 00:00:00.000 UTC
1257.5310718301362,2024-05-29 00:00:00.000 UTC
1717.1210658473258,2024-05-28 00:00:00.000 UTC
1613.6203931559398,2024-05-27 00:00:00.000 UTC
581.6492987541891,2024-05-26 00:00:00.000 UTC
488.90987640679356,2024-05-25 00:00:00.000 UTC
874.9668427916787,2024-05-24 00:00:00.000 UTC
1264.1156920789526,2024-05-23 00:00:00.000 UTC
1159.9138677398769,2024-05-22 00:00:00.000 UTC
1506.2635034362895,2024-05-21 00:00:00.000 UTC
1551.5482541146148,2024-05-20 00:00:00.000 UTC
348.7774094225109,2024-05-19 00:00:00.000 UTC
366.09262289488635,2024-05-18 00:00:00.000 UTC
615.1740398985972,2024-05-17 00:00:00.000 UTC
554.3455259856529,2024-05-16 00:00:00.000 UTC
788.5223485819903,2024-05-15 00:00:00.000 UTC
753.5812352082955,2024-05-14 00:00:00.000 UTC
890.5820278787046,2024-05-13 00:00:00.000 UTC
405.4894292238632,2024-05-12 00:00:00.000 UTC
501.5260559948222,2024-05-11 00:00:00.000 UTC
678.6113196842542,2024-05-10 00:00:00.000 UTC
497.9145202608252,2024-05-09 00:00:00.000 UTC
547.0297007460716,2024-05-08 00:00:00.000 UTC
673.4688566048518,2024-05-07 00:00:00.000 UTC
652.8817952584415,2024-05-06 00:00:00.000 UTC
610.5217836906128,2024-05-05 00:00:00.000 UTC
620.4715028854263,2024-05-04 00:00:00.000 UTC
754.2995966172639,2024-05-03 00:00:00.000 UTC
862.2211455446748,2024-05-02 00:00:00.000 UTC
997.2172670908575,2024-05-01 00:00:00.000 UTC
1529.3763299500592,2024-04-30 00:00:00.000 UTC
942.0903889662801,2024-04-29 00:00:00.000 UTC
706.6872701179269,2024-04-28 00:00:00.000 UTC
629.1835624282846,2024-04-27 00:00:00.000 UTC
759.9791964207891,2024-04-26 00:00:00.000 UTC
1232.8595426378286,2024-04-25 00:00:00.000 UTC
1520.2426634434769,2024-04-24 00:00:00.000 UTC
1295.5480887450512,2024-04-23 00:00:00.000 UTC
1095.831748072606,2024-04-22 00:00:00.000 UTC
796.8006440185223,2024-04-21 00:00:00.000 UTC
807.0151202704997,2024-04-20 00:00:00.000 UTC
1217.844146464788,2024-04-19 00:00:00.000 UTC
1317.5530617694862,2024-04-18 00:00:00.000 UTC
2090.413499095728,2024-04-17 00:00:00.000 UTC
1219.1152744080582,2024-04-16 00:00:00.000 UTC
1582.6397129547577,2024-04-15 00:00:00.000 UTC
1314.9593763198623,2024-04-14 00:00:00.000 UTC
4566.926769009952,2024-04-13 00:00:00.000 UTC
3016.307765167363,2024-04-12 00:00:00.000 UTC
2086.820433804745,2024-04-11 00:00:00.000 UTC
2038.28033989565,2024-04-10 00:00:00.000 UTC
2813.8359891236996,2024-04-09 00:00:00.000 UTC
2455.31692114579,2024-04-08 00:00:00.000 UTC
1591.1303353827907,2024-04-07 00:00:00.000 UTC
1379.07783959737,2024-04-06 00:00:00.000 UTC
2118.0411736226524,2024-04-05 00:00:00.000 UTC
2939.548126309994,2024-04-04 00:00:00.000 UTC
3302.7169700419563,2024-04-03 00:00:00.000 UTC
3939.3002669364787,2024-04-02 00:00:00.000 UTC
2600.1516633515,2024-04-01 00:00:00.000 UTC
2207.1501108320135,2024-03-31 00:00:00.000 UTC
2335.3803656203286,2024-03-30 00:00:00.000 UTC
2765.5146122394294,2024-03-29 00:00:00.000 UTC
3521.4889930541954,2024-03-28 00:00:00.000 UTC
3665.5357713212125,2024-03-27 00:00:00.000 UTC
3290.599734088148,2024-03-26 00:00:00.000 UTC
2720.433010711997,2024-03-25 00:00:00.000 UTC
1967.8470864122098,2024-03-24 00:00:00.000 UTC
2003.919727606412,2024-03-23 00:00:00.000 UTC
2645.426330401543,2024-03-22 00:00:00.000 UTC
3271.227520311484,2024-03-21 00:00:00.000 UTC
3823.8522380538234,2024-03-20 00:00:00.000 UTC
4229.653113760562,2024-03-19 00:00:00.000 UTC
3818.448505701698,2024-03-18 00:00:00.000 UTC
3061.4837934293673,2024-03-17 00:00:00.000 UTC
3572.012617905996,2024-03-16 00:00:00.000 UTC
4520.049840700996,2024-03-15 00:00:00.000 UTC
5579.297297988187,2024-03-14 00:00:00.000 UTC
6327.828034923086,2024-03-13 00:00:00.000 UTC
6347.091585820739,2024-03-12 00:00:00.000 UTC
7109.465228456515,2024-03-11 00:00:00.000 UTC
6190.927776010117,2024-03-10 00:00:00.000 UTC
5855.12847247918,2024-03-09 00:00:00.000 UTC
6447.120216644172,2024-03-08 00:00:00.000 UTC
7351.195985932761,2024-03-07 00:00:00.000 UTC
8263.615756212632,2024-03-06 00:00:00.000 UTC
9834.511838516217,2024-03-05 00:00:00.000 UTC
8502.565231789506,2024-03-04 00:00:00.000 UTC
5441.942983304425,2024-03-03 00:00:00.000 UTC
5165.398596957158,2024-03-02 00:00:00.000 UTC
5784.305946915777,2024-03-01 00:00:00.000 UTC
7370.291764946205,2024-02-29 00:00:00.000 UTC
6391.181311017593,2024-02-28 00:00:00.000 UTC
5132.591055560594,2024-02-27 00:00:00.000 UTC
4271.962899921121,2024-02-26 00:00:00.000 UTC
3051.4835513905646,2024-02-25 00:00:00.000 UTC
2997.7109906842766,2024-02-24 00:00:00.000 UTC
4380.150733791817,2024-02-23 00:00:00.000 UTC
5107.344757760677,2024-02-22 00:00:00.000 UTC
4244.498509839431,2024-02-21 00:00:00.000 UTC
3966.0425735133153,2024-02-20 00:00:00.000 UTC
3560.424046889786,2024-02-19 00:00:00.000 UTC
2357.708298656657,2024-02-18 00:00:00.000 UTC
2083.0193156029854,2024-02-17 00:00:00.000 UTC
2898.540870907496,2024-02-16 00:00:00.000 UTC
3729.211908651518,2024-02-15 00:00:00.000 UTC
2795.7033452156093,2024-02-14 00:00:00.000 UTC
3265.9122500081685,2024-02-13 00:00:00.000 UTC
4324.744972132568,2024-02-12 00:00:00.000 UTC
2974.1839652347353,2024-02-11 00:00:00.000 UTC
3792.997026031691,2024-02-10 00:00:00.000 UTC
7188.456227204725,2024-02-09 00:00:00.000 UTC
5990.255796574775,2024-02-08 00:00:00.000 UTC
4278.061471095649,2024-02-07 00:00:00.000 UTC
3831.3582785787903,2024-02-06 00:00:00.000 UTC
2044.3356440704463,2024-02-05 00:00:00.000 UTC
1700.0830399710758,2024-02-04 00:00:00.000 UTC
1952.6390347071554,2024-02-03 00:00:00.000 UTC
2259.9684195451728,2024-02-02 00:00:00.000 UTC
2957.4165490502987,2024-02-01 00:00:00.000 UTC
2643.3171890034396,2024-01-31 00:00:00.000 UTC
2846.3591626910456,2024-01-30 00:00:00.000 UTC
1484.3516159088995,2024-01-29 00:00:00.000 UTC
1281.7992331649975,2024-01-28 00:00:00.000 UTC
