amount_staked,earned_rewards,entity,entity_category,entity_just_name,last_deposit,last_withdrawal,marketshare,om_change,ow_change,ranking,sm_change,validators
9695037.025877422,664513.2395258382,<a href='https://x.com/LidoFinance' target='_blank'>Lido</a>,Liquid Staking,Lido,2024-10-28,2024-10-27,0.27809739599011857,-0.006,0.0,1.0,0.04,302969.9070586694
3887138.5675952043,347525.0551398032,<a href='https://x.com/coinbase' target='_blank'>Coinbase</a>,CEXs,Coinbase,2024-10-26,2024-10-28,0.11150066891087015,-0.044,-0.009,2.0,-0.125,121473.08023735014
1658560.600979776,164540.8448848475,<a href='https://x.com/binance' target='_blank'>Binance</a>,CEXs,Binance,2024-10-23,2024-10-24,0.04757499976463869,0.048,0.0,3.0,0.544,51830.018780618
1592224.455000334,25464.09071987989,<a href='https://x.com/ether_fi' target='_blank'>ether.fi</a>,Liquid Restaking,ether.fi,2024-10-05,2024-10-24,0.04567217985712693,-0.028,-0.005,4.0,0.358,49757.014218760436
1235106.7381264262,39101.1820865629,<a href='https://x.com/Kiln_finance' target='_blank'>Kiln</a>,Staking Pools,Kiln,2024-10-28,2024-10-28,0.035428432787416066,0.017,0.014,5.0,0.058,38597.08556645082
908545.19132299,55552.26148876806,<a href='https://x.com/Figment_io' target='_blank'>Figment</a>,Staking Pools,Figment,2024-10-28,2024-10-28,0.02606117451350331,0.008,-0.003,6.0,0.043,28392.037228843437
857569.16579617,148475.7515083423,<a href='https://x.com/krakenfx' target='_blank'>Kraken</a>,CEXs,Kraken,2024-10-28,2024-10-25,0.024598952149721107,0.061,0.081,7.0,0.124,26799.036431130313
698265.8209385228,46771.56690507595,<a href='https://x.com/Rocket_Pool' target='_blank'>Rocket Pool</a>,Liquid Staking,Rocket Pool,2024-10-28,2024-10-28,0.020029413605496916,-0.026,-0.009,8.0,-0.119,21820.806904328838
599808.6066437671,12777.50212551102,<a href='https://x.com/RenzoProtocol' target='_blank'>Renzo</a>,Liquid Restaking,Renzo,2024-10-28,2024-10-24,0.01720521656130516,-0.02,0.019,9.0,-0.405,18744.01895761772
573244.3621032161,73431.97098117386,<a href='https://x.com/staked_us' target='_blank'>Staked.us</a>,Staking Pools,Staked.us,2024-10-26,2024-10-27,0.016443234197188985,-0.003,0.014,10.0,-0.069,17913.886315725504
546400.08009075,8857.97353506099,<a href='https://x.com/everstake_pool' target='_blank'>Everstake</a>,Staking Pools,Everstake,2024-10-28,2024-10-25,0.015673219095135717,0.042,0.015,11.0,0.634,17075.002502835938
531605.735671332,55478.889366217045,<a href='https://x.com/BitcoinSuisseAG' target='_blank'>Bitcoin Suisse</a>,CEXs,Bitcoin Suisse,2024-10-26,2024-10-27,0.015248850560241056,0.005,-0.001,12.0,-0.051,16612.679239729125
503297.491809174,43926.66069212414,<a href='https://x.com/stakefish' target='_blank'>stakefish</a>,Staking Pools,stakefish,2024-10-28,2024-10-26,0.014436842428440557,0.039,0.048,13.0,0.086,15728.046619036688
482144.13580581604,11019.564919526978,<a href='https://x.com/0xMantle' target='_blank'>Mantle</a>,Staking Pools,Mantle,2024-09-24,2024-10-24,0.01383006875596421,-0.039,-0.016,14.0,-0.02,15067.004243931751
468065.144197326,24791.114751966976,<a href='https://x.com/okx' target='_blank'>OKX</a>,CEXs,OKX,2024-10-28,2024-10-25,0.013426219766626961,0.057,0.0,15.0,0.34,14627.035756166437
440480.10645542,11665.176233540029,<a href='https://x.com/P2Pvalidator' target='_blank'>P2P.org</a>,Staking Pools,P2P.org,2024-10-28,2024-10-25,0.012634956448721384,0.003,-0.042,16.0,0.007,13765.003326731876
403488.14001673996,17237.079089468047,<a href='https://x.com/upbitglobal' target='_blank'>Upbit</a>,CEXs,Upbit,2024-10-28,2024-10-27,0.011573859981354385,-0.038,-0.019,17.0,0.079,12609.004375523124
360736.328879628,13634.968191896987,<a href='https://x.com/BlockdaemonHQ' target='_blank'>Blockdaemon</a>,Staking Pools,Blockdaemon,2024-10-25,2024-10-28,0.010347545185510044,-0.014,-0.042,18.0,-0.007,11273.010277488374
326112.0,44524.93042732996,<a href='https://x.com/DARMACapital' target='_blank'>DARMA Capital</a>,Staking Pools,DARMA Capital,2022-12-05,Never,0.009354363243694968,0.0,0.0,19.0,0.0,10191.0
314304.182867483,1777.8976607240018,<a href='https://x.com/puffer_finance' target='_blank'>Puffer Finance</a>,Liquid Restaking,Puffer Finance,2024-10-23,2024-10-25,0.009015661783544196,0.257,0.019,20.0,0.0,9822.005714608844
173216.232973113,6527.213016791994,<a href='https://x.com/swellnetworkio' target='_blank'>Swell</a>,Liquid Restaking,Swell,2024-05-27,2024-10-23,0.0049686229360924854,-0.065,-0.012,21.0,-0.467,5413.007280409781
168000.0,10365.56118612998,<a href='https://x.com/Bitstamp' target='_blank'>Bitstamp</a>,CEXs,Bitstamp,2024-10-28,2024-10-24,0.00481899784411722,0.012,0.001,22.0,0.046,5250.0
152352.0,17713.24081236901,<a href='https://x.com/daniel_taikoxyz' target='_blank'>Daniel Wang</a>,Solo Stakers,Daniel Wang,2024-05-24,2023-05-25,0.004370142616350873,0.0,0.0,23.0,0.001,4761.0
138240.0,2104.4709595709996,<a href='https://x.com/KelpDAO' target='_blank'>Kelp DAO</a>,Liquid Restaking,Kelp DAO,2024-07-29,2024-10-22,0.0039653467974450265,-0.041,-0.001,24.0,0.533,4320.0
137664.0,10139.351134965975,<a href='https://x.com/coinspotau' target='_blank'>CoinSpot</a>,CEXs,CoinSpot,2023-07-19,2023-07-19,0.003948824519122339,0.0,0.0,25.0,0.0,4302.0
135680.0,9791.981840648987,<a href='https://x.com/fraxfinance' target='_blank'>Frax Finance</a>,Liquid Staking,Frax Finance,2024-10-09,2024-10-27,0.0038919144493441927,-0.084,-0.012,26.0,-0.179,4240.0
128621.40088673001,3121.3331202409995,<a href='https://x.com/staderlabs' target='_blank'>Stader</a>,Liquid Staking,Stader,2024-10-26,2024-10-25,0.0036894419855981464,0.022,0.018,28.0,0.044,4019.418777710313
127435.87745825136,0.0,<a href='https://x.com/divastaking' target='_blank'>Diva (Pre-launch)</a>,Liquid Staking,Diva (Pre-launch),2024-10-19,Never,0.0036554358258005923,0.0,0.0,29.0,0.014,3982.371170570355
119200.0,1885.8369168259999,<a href='https://x.com/Consensys' target='_blank'>Consensys</a>,Staking Pools,Consensys,2024-10-28,2024-10-25,0.003419193708445075,0.159,0.009,30.0,0.297,3725.0
