amount_full_withdrawn,amount_partial_withdrawn,amount_staked,day,entity,entity_category,sub_entity,sub_entity_category,total_entries
0.0,-5.947760388,0,2024-08-21,BTC-e,CEXs,0,0,263
0.0,-1.5155623800000002,0,2024-08-21,imToken,Staking Pools,0,0,72
0.0,0.0,64,2024-08-21,Kraken,CEXs,0,0,2
-160.0,-26.89080077100001,0,2024-08-21,Bitcoin Suisse,CEXs,0,0,1234
0.0,-8.772212198,0,2024-08-21,Daniel Wang,Solo Stakers,0,0,400
-64.0,-7.630803901000002,0,2024-08-21,Other Solo Stakers,Solo Stakers,0,0,363
0.0,-1.9193710520000002,0,2024-08-21,Stkr (Ankr),Liquid Staking,0,0,79
0.0,-0.7867856209999999,0,2024-08-21,cryptostake.com,Staking Pools,0,0,34
0.0,-1.3195585360000002,0,2024-08-21,Bitfinex,CEXs,0,0,55
0.0,-5.4095001819999995,0,2024-08-21,Paxos,CEXs,0,0,237
-8256.0,-144.29169320000005,0,2024-08-21,Coinbase,CEXs,0,0,6621
0.0,0.0,96,2024-08-21,Mantle,Staking Pools,0,0,3
0.0,-4.305642871,0,2024-08-21,KuCoin,CEXs,0,0,200
0.0,-174.2241682590001,0,2024-08-21,DARMA Capital,Staking Pools,0,0,7768
0.0,0.0,32,2024-08-21,Consensys,Staking Pools,0,0,1
0.0,-83.01864516199998,0,2024-08-21,Binance,CEXs,0,0,3717
-96.0,-133.89499536700004,0,2024-08-21,Lido,Liquid Staking,0,0,5939
0.0,-0.441499865,0,2024-08-21,SharedStake,Liquid Staking,0,0,23
0.0,0.0,64,2024-08-21,Figment,Staking Pools,0,0,2
0.0,-3.488586131,0,2024-08-21,stakefish,Staking Pools,0,0,155
-256.0,-173.17054887,1083,2024-08-21,0,0,0,0,7670
0.0,0.0,3072,2024-08-21,Everstake,Staking Pools,0,0,96
0.0,-0.32510987999999996,0,2024-08-21,Bifrost,Liquid Staking,0,0,17
-64.0,-5.314180043999998,0,2024-08-21,MyEtherWallet,Staking Pools,0,0,230
0.0,-10.107449166999999,0,2024-08-21,Staked.us,Staking Pools,0,0,441
0.0,0.0,96,2024-08-21,Bitget,CEXs,0,0,3
0.0,0.0,128,2024-08-21,Upbit,CEXs,0,0,4
-32.0,-1.6204382750000028,32,2024-08-21,StakeWise,Staking Pools,0,0,81
0.0,-3.5256605289999996,0,2024-08-21,Stakewise,Liquid Staking,0,0,164
0.0,-6.033850861,0,2024-08-20,honoraryape.eth,Solo Stakers,0,0,250
-3391.945096722,-1003.1458434299997,9020,2024-08-20,0,0,0,0,43714
-1024.0,-68.42946460000002,32,2024-08-20,Puffer Finance,Liquid Restaking,0,0,3110
0.0,-2.3293324779999995,0,2024-08-20,Bitget,CEXs,0,0,117
0.0,-1.66236721,0,2024-08-20,Teku Team,Solo Stakers,0,0,70
-192.0,-3.9656197660000045,0,2024-08-20,RockX,Staking Pools,0,0,203
-96.0,-62.32518964400002,6624,2024-08-20,Coinbase,CEXs,0,0,3292
0.0,-0.5463110389999999,0,2024-08-20,guccilorian.eth,Solo Stakers,0,0,29
0.0,-0.8519195209999999,0,2024-08-20,Liquid Collective,Liquid Staking,0,0,42
0.0,-4.410260621000001,0,2024-08-20,was.eth,Solo Stakers,0,0,200
0.0,-1.522806709,0,2024-08-20,Sigma Prime Team,Solo Stakers,0,0,70
-96.0,-24.963131777,32,2024-08-20,P2P.org,Staking Pools,0,0,1201
0.0,-1.2324039390000001,0,2024-08-20,for.eth,Solo Stakers,0,0,60
0.0,-12.070408859999999,0,2024-08-20,Poloniex,CEXs,0,0,767
-32.0,-31.842367366000005,0,2024-08-20,Other Solo Stakers,Solo Stakers,0,0,1181
-32.0,-6.8308088240000036,0,2024-08-20,Stkr (Ankr),Liquid Staking,0,0,302
0.0,-0.984349992,0,2024-08-20,imToken,Staking Pools,0,0,45
-32.0,-3.937689902000001,0,2024-08-20,Stader,Liquid Staking,0,0,211
0.0,-2.321178036,0,2024-08-20,Redacted Pirex,Liquid Staking,0,0,133
0.0,-11.034808956000001,0,2024-08-20,WEX Exchange,CEXs,0,0,500
-10208.0,-138.033879974,0,2024-08-20,Renzo,Liquid Restaking,0,0,6479
0.0,-13.866418219000002,0,2024-08-20,Daniel Wang,Solo Stakers,0,0,599
-288.0,-49.310030180000005,256,2024-08-20,OKX,CEXs,0,0,2354
0.0,-9.420948812,0,2024-08-20,KuCoin,CEXs,0,0,427
-160.0,-19.23459245199999,160,2024-08-20,Mantle,Staking Pools,0,0,1298
0.0,-0.616114972,1696,2024-08-20,XHash,CEXs,0,0,86
0.0,-6.174328126,0,2024-08-20,Bitpie,Staking Pools,0,0,287
0.0,-0.118579333,0,2024-08-20,Frax Finance,Liquid Staking,0,0,4
-32.0,-53.850719496,4160,2024-08-20,Blockdaemon,Staking Pools,0,0,2696
0.0,-0.214017369,0,2024-08-20,0,0,Binance US,CEXs,66
-128.0,-68.97293291500002,0,2024-08-20,stakefish,Staking Pools,0,0,1490
-320.0,-56.414164464999985,288,2024-08-20,Kraken,CEXs,0,0,2785
-96.0,-8.291803397999999,256,2024-08-20,StakeWise,Staking Pools,0,0,393
0.0,-0.018954953,0,2024-08-20,Harbour,Liquid Staking,0,0,1
-224.0,-118.00541705299999,0,2024-08-20,Binance,CEXs,0,0,6447
0.0,-6.391782285000001,0,2024-08-20,MyEtherWallet,Staking Pools,0,0,301
0.0,-7.695635135,0,2024-08-20,Gate.io,CEXs,0,0,313
0.0,-0.056871888999999995,0,2024-08-20,StaFi,Liquid Staking,0,0,3
-64.0,-13.561996694,32,2024-08-20,Consensys,Staking Pools,0,0,804
0.0,-0.037932911,0,2024-08-20,DxPool,Staking Pools,0,0,2
0.0,-1.696403138,0,2024-08-20,Copper.co,Staking Pools,0,0,90
-352.0,-72.63967114500001,288,2024-08-20,Everstake,Staking Pools,0,0,3371
0.0,-0.8490958550000001,0,2024-08-20,staked.finance,Liquid Staking,0,0,30
-896.0,-54.476080243999995,512,2024-08-20,Figment,Staking Pools,0,0,2669
0.0,-0.587036034,0,2024-08-20,Blox Staking,Staking Pools,0,0,31
0.0,-0.180346505,0,2024-08-20,SharedStake,Liquid Staking,0,0,7
0.0,-1.0496960030000002,0,2024-08-20,Prysm Team,Solo Stakers,0,0,50
0.0,-66.60288315999998,0,2024-08-20,ether.fi,Liquid Restaking,0,0,3295
-1120.0,-31.895739656000003,1472,2024-08-20,Kiln,Staking Pools,0,0,1765
0.0,-7.611895711000001,0,2024-08-20,Bitfinex,CEXs,0,0,356
0.0,-1.158669735,0,2024-08-20,Nimbus Team,Solo Stakers,0,0,48
0.0,-0.17101054799999998,0,2024-08-20,Eigenpie,Liquid Restaking,0,0,9
0.0,-5.121309325,128,2024-08-20,Revolut,CEXs,0,0,269
-704.0,-52.94147025000001,192,2024-08-20,Staked.us,Staking Pools,0,0,2433
0.0,-0.057012679,0,2024-08-20,Paxos,CEXs,0,0,3
-448.0,-29.152333408999997,640,2024-08-20,Upbit,CEXs,0,0,1513
-1568.0,-265.37666772700004,0,2024-08-20,Lido,Liquid Staking,0,0,12960
0.0,-2.095408439,0,2024-08-20,cryptostake.com,Staking Pools,0,0,100
-32.0,-3.6825452050000003,32,2024-08-20,Bitstamp,CEXs,0,0,230
-128.0,-86.59328439200002,0,2024-08-20,Bitcoin Suisse,CEXs,0,0,3788
0.0,-3.456338943,0,2024-08-19,Bitfinex,CEXs,0,0,160
0.0,-1.473512836,0,2024-08-19,Cluster 0x0f5b,0,0,0,61
-384.0,-39.142718681999995,1440,2024-08-19,stakefish,Staking Pools,0,0,1785
0.0,-1.254876554,0,2024-08-19,Redacted Pirex,Liquid Staking,0,0,57
-1440.0,-31.84705264999998,0,2024-08-19,Swell,Liquid Restaking,0,0,1375
-479.988423528,-87.789676106,1632,2024-08-19,Everstake,Staking Pools,0,0,3888
0.0,-0.607892209,0,2024-08-19,MyEtherWallet,Staking Pools,0,0,11
-192.0,-13.843175574999995,0,2024-08-19,Rocket Pool,Liquid Staking,0,0,640
-14304.0,-136.07932215500003,0,2024-08-19,Renzo,Liquid Restaking,0,0,6421
0.0,-0.22599588399999998,0,2024-08-19,Ebunker,Staking Pools,0,0,12
-831.11276776,-44.379586855000014,2368,2024-08-19,Kiln,Staking Pools,0,0,2127
-64.0,-16.623521238000006,3232,2024-08-19,Blockdaemon,Staking Pools,0,0,857
0.0,-0.037837467,0,2024-08-19,StaFi,Liquid Staking,0,0,2
0.0,-0.18526398200000002,0,2024-08-19,DxPool,Staking Pools,0,0,10
0.0,-0.018813137,0,2024-08-19,Hord,Liquid Staking,0,0,1
0.0,-1.9089134840000002,128,2024-08-19,Bitstamp,CEXs,0,0,91
0.0,-0.742300014,0,2024-08-19,XHash,CEXs,0,0,32
-64.0,-33.52740138200001,736,2024-08-19,Upbit,CEXs,0,0,1542
0.0,-5.639493989,1824,2024-08-19,Mantle,Staking Pools,0,0,310
-576.0,-28.92723123100001,288,2024-08-19,Bitcoin Suisse,CEXs,0,0,1268
0.0,-5.881321507,0,2024-08-19,RockX,Staking Pools,0,0,280
-544.0,-18.83119442799999,640,2024-08-19,Puffer Finance,Liquid Restaking,0,0,893
0.0,-1.056894663,0,2024-08-19,Other Solo Stakers,Solo Stakers,0,0,46
0.0,-1.6617384449999997,1888,2024-08-19,0,0,Binance US,CEXs,135
0.0,-16.249915486,0,2024-08-19,OKX,CEXs,0,0,738
-831.988384047,-507.774739453,0,2024-08-19,ether.fi,Liquid Restaking,0,0,22666
-32.0,-20.188893983,1920,2024-08-19,Consensys,Staking Pools,0,0,945
-959.90260228,-115.72386516700001,2240,2024-08-19,Figment,Staking Pools,0,0,5317
-256.0,-97.472205516,320,2024-08-19,P2P.org,Staking Pools,0,0,4340
0.0,-24.364422528000006,51200,2024-08-19,Binance,CEXs,0,0,2673
0.0,-0.539462581,0,2024-08-19,Bitget,CEXs,0,0,29
0.0,-0.41461936099999996,0,2024-08-19,MintDice.com,CEXs,0,0,22
0.0,-0.056812929,0,2024-08-19,Frax Finance,Liquid Staking,0,0,3
0.0,-0.018791318,0,2024-08-19,Mercado Bitcoin,CEXs,0,0,1
-192.0,-511.4324378689997,384,2024-08-19,Lido,Liquid Staking,0,0,22816
-32.0,-10.987572132000004,0,2024-08-19,imToken,Staking Pools,0,0,516
-1119.8834003759998,-494.9299082500003,5247,2024-08-19,0,0,0,0,22161
0.0,-1.175654547,0,2024-08-19,Eigenpie,Liquid Restaking,0,0,55
-32.0,-30.870724738000003,0,2024-08-19,Kelp DAO,Liquid Restaking,0,0,1381
-64.0,-9.477383739999995,32,2024-08-19,StakeWise,Staking Pools,0,0,407
-1056.0,-98.42102133700001,5792,2024-08-19,Coinbase,CEXs,0,0,4670
-192.0,-6.303621073999995,64,2024-08-19,Revolut,CEXs,0,0,291
-96.0,-31.953128793,224,2024-08-19,Staked.us,Staking Pools,0,0,1456
-575.7614661800001,-67.48900452799998,704,2024-08-19,Kraken,CEXs,0,0,3043
-832.0,-21.55366385299999,0,2024-08-19,Stader,Liquid Staking,0,0,979
0.0,-12.410051488,32,2024-08-19,Liquid Collective,Liquid Staking,0,0,566
0.0,-0.131993932,0,2024-08-19,Daniel Wang,Solo Stakers,0,0,7
0.0,-0.11345386300000002,0,2024-08-18,Frax Finance,Liquid Staking,0,0,7
0.0,-2.132287587,0,2024-08-18,OKX,CEXs,0,0,99
-2560.0,-412.00492840199973,0,2024-08-18,ether.fi,Liquid Restaking,0,0,18261
-1024.0,-70.28862867500001,288,2024-08-18,Figment,Staking Pools,0,0,3216
-224.0,-189.44046666199998,448,2024-08-18,Everstake,Staking Pools,0,0,8382
-12064.0,-168.37949813900002,0,2024-08-18,Renzo,Liquid Restaking,0,0,7654
0.0,-1.274875505,0,2024-08-18,Bitget,CEXs,0,0,54
-96.0,-1.2403442510000067,64,2024-08-18,StakeWise,Staking Pools,0,0,48
0.0,-1.17434986,0,2024-08-18,Bitfinex,CEXs,0,0,57
-480.0,-14.314088972,864,2024-08-18,Upbit,CEXs,0,0,666
-2912.0,-398.34048775900004,7272,2024-08-18,0,0,0,0,18243
-576.0,-23.30261313200001,0,2024-08-18,Staked.us,Staking Pools,0,0,1078
0.0,-0.037832604,0,2024-08-18,0,0,Binance US,CEXs,2
-32.0,-0.8407346440000032,0,2024-08-18,Other Solo Stakers,Solo Stakers,0,0,38
-160.0,-9.085621748000001,0,2024-08-18,Rocket Pool,Liquid Staking,0,0,410
0.0,-0.151327035,0,2024-08-18,Ebunker,Staking Pools,0,0,8
0.0,-1.6459398150000002,0,2024-08-18,Bitcoin Suisse,CEXs,0,0,69
0.0,-0.8380629389999998,0,2024-08-18,Gate.io,CEXs,0,0,30
0.0,-0.466463906,0,2024-08-18,MyEtherWallet,Staking Pools,0,0,20
