day,entity_category,total_staked,total_withdrawn
2022-09-15,Liquid Restaking,3.0,0.0
2022-09-16,Liquid Restaking,0.0,0.0
2022-09-17,Liquid Restaking,0.0,0.0
2022-09-18,Liquid Restaking,0.0,0.0
2022-09-19,Liquid Restaking,0.0,0.0
2022-09-20,Liquid Restaking,0.0,0.0
2022-09-21,Liquid Restaking,0.0,0.0
2022-09-22,Liquid Restaking,0.0,0.0
2022-09-23,Liquid Restaking,0.0,0.0
2022-09-24,Liquid Restaking,0.0,0.0
2022-09-25,Liquid Restaking,0.0,0.0
2022-09-26,Liquid Restaking,0.0,0.0
2022-09-27,Liquid Restaking,0.0,0.0
2022-09-28,Liquid Restaking,0.0,0.0
2022-09-29,Liquid Restaking,0.0,0.0
2022-09-30,Liquid Restaking,0.0,0.0
2022-10-01,Liquid Restaking,0.0,0.0
2022-10-02,Liquid Restaking,0.0,0.0
2022-10-03,Liquid Restaking,0.0,0.0
2022-10-04,Liquid Restaking,0.0,0.0
2022-10-05,Liquid Restaking,0.0,0.0
2022-10-06,Liquid Restaking,0.0,0.0
2022-10-07,Liquid Restaking,0.0,0.0
2022-10-08,Liquid Restaking,0.0,0.0
2022-10-09,Liquid Restaking,0.0,0.0
2022-10-10,Liquid Restaking,0.0,0.0
2022-10-11,Liquid Restaking,0.0,0.0
2022-10-12,Liquid Restaking,0.0,0.0
2022-10-13,Liquid Restaking,0.0,0.0
2022-10-14,Liquid Restaking,0.0,0.0
2022-10-15,Liquid Restaking,0.0,0.0
2022-10-16,Liquid Restaking,0.0,0.0
2022-10-17,Liquid Restaking,0.0,0.0
2022-10-18,Liquid Restaking,0.0,0.0
2022-10-19,Liquid Restaking,0.0,0.0
2022-10-20,Liquid Restaking,0.0,0.0
2022-10-21,Liquid Restaking,0.0,0.0
2022-10-22,Liquid Restaking,0.0,0.0
2022-10-23,Liquid Restaking,0.0,0.0
2022-10-24,Liquid Restaking,0.0,0.0
2022-10-25,Liquid Restaking,0.0,0.0
2022-10-26,Liquid Restaking,0.0,0.0
2022-10-27,Liquid Restaking,0.0,0.0
2022-10-28,Liquid Restaking,0.0,0.0
2022-10-29,Liquid Restaking,0.0,0.0
2022-10-30,Liquid Restaking,0.0,0.0
2022-10-31,Liquid Restaking,0.0,0.0
2022-11-01,Liquid Restaking,0.0,0.0
2022-11-02,Liquid Restaking,0.0,0.0
2022-11-03,Liquid Restaking,0.0,0.0
2022-11-04,Liquid Restaking,0.0,0.0
2022-11-05,Liquid Restaking,0.0,0.0
2022-11-06,Liquid Restaking,0.0,0.0
2022-11-07,Liquid Restaking,0.0,0.0
2022-11-08,Liquid Restaking,0.0,0.0
2022-11-09,Liquid Restaking,0.0,0.0
2022-11-10,Liquid Restaking,0.0,0.0
2022-11-11,Liquid Restaking,0.0,0.0
2022-11-12,Liquid Restaking,0.0,0.0
2022-11-13,Liquid Restaking,0.0,0.0
2022-11-14,Liquid Restaking,0.0,0.0
2022-11-15,Liquid Restaking,0.0,0.0
2022-11-16,Liquid Restaking,0.0,0.0
2022-11-17,Liquid Restaking,0.0,0.0
2022-11-18,Liquid Restaking,0.0,0.0
2022-11-19,Liquid Restaking,0.0,0.0
2022-11-20,Liquid Restaking,0.0,0.0
2022-11-21,Liquid Restaking,0.0,0.0
2022-11-22,Liquid Restaking,0.0,0.0
2022-11-23,Liquid Restaking,0.0,0.0
2022-11-24,Liquid Restaking,0.0,0.0
2022-11-25,Liquid Restaking,0.0,0.0
2022-11-26,Liquid Restaking,0.0,0.0
2022-11-27,Liquid Restaking,0.0,0.0
2022-11-28,Liquid Restaking,0.0,0.0
2022-11-29,Liquid Restaking,0.0,0.0
2022-11-30,Liquid Restaking,0.0,0.0
2022-12-01,Liquid Restaking,0.0,0.0
2022-12-02,Liquid Restaking,0.0,0.0
2022-12-03,Liquid Restaking,0.0,0.0
2022-12-04,Liquid Restaking,0.0,0.0
2022-12-05,Liquid Restaking,0.0,0.0
2022-12-06,Liquid Restaking,0.0,0.0
2022-12-07,Liquid Restaking,0.0,0.0
2022-12-08,Liquid Restaking,0.0,0.0
2022-12-09,Liquid Restaking,0.0,0.0
2022-12-10,Liquid Restaking,0.0,0.0
2022-12-11,Liquid Restaking,0.0,0.0
2022-12-12,Liquid Restaking,0.0,0.0
2022-12-13,Liquid Restaking,0.0,0.0
2022-12-14,Liquid Restaking,0.0,0.0
2022-12-15,Liquid Restaking,0.0,0.0
2022-12-16,Liquid Restaking,0.0,0.0
2022-12-17,Liquid Restaking,0.0,0.0
2022-12-18,Liquid Restaking,0.0,0.0
2022-12-19,Liquid Restaking,0.0,0.0
2022-12-20,Liquid Restaking,0.0,0.0
2022-12-21,Liquid Restaking,0.0,0.0
2022-12-22,Liquid Restaking,0.0,0.0
2022-12-23,Liquid Restaking,0.0,0.0
2022-12-24,Liquid Restaking,0.0,0.0
2022-12-25,Liquid Restaking,0.0,0.0
2022-12-26,Liquid Restaking,0.0,0.0
2022-12-27,Liquid Restaking,0.0,0.0
2022-12-28,Liquid Restaking,0.0,0.0
